SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
3;GZ;3;13.1;443.3
2;GZ;3;5.4;182.3
1;GZ;3;7.7;261.0
3;GZ;2;12.7;431.2
2;GZ;2;4.4;148.5
1;GZ;2;8.3;282.6
3;GZ;1;0.1;3.5
2;GZ;1;0.0;0.8
1;GZ;1;0.1;2.7
3;FZ;z;100.0;1797.4
2;FZ;z;11.1;200.0
1;FZ;z;88.9;1597.3
3;FZ;6;47.0;844.0
2;FZ;6;0.9;16.4
1;FZ;6;46.0;827.6
3;FZ;5;5.2;92.8
2;FZ;5;4.7;84.3
1;FZ;5;0.5;8.5
3;FZ;4;16.7;300.9
2;FZ;4;2.7;49.4
1;FZ;4;14.0;251.5
3;FZ;3;8.2;147.1
2;FZ;3;1.5;26.5
1;FZ;3;6.7;120.6
3;FZ;2;22.8;409.3
2;FZ;2;1.2;22.4
1;FZ;2;21.5;387.0
3;FZ;1;0.1;1.2
2;FZ;1;0.0;0.8
1;FZ;1;0.0;0.4
3;EZ;z;100.0;199.5
2;EZ;z;22.8;45.6
1;EZ;z;77.2;154.0
3;EZ;6;47.1;93.9
2;EZ;6;3.8;7.6
1;EZ;6;43.2;86.3
3;EZ;5;12.3;24.5
2;EZ;5;7.7;15.3
1;EZ;5;4.6;9.2
3;EZ;4;27.7;55.2
2;EZ;4;8.7;17.4
1;EZ;4;18.9;37.8
3;EZ;3;10.9;21.8
2;EZ;3;2.5;4.9
1;EZ;3;8.5;16.9
3;EZ;2;2.1;4.1
2;EZ;2;0.1;0.3
1;EZ;2;1.9;3.8
3;DZ;z;100.0;198.2
2;DZ;z;24.4;48.4
1;DZ;z;75.6;149.8
3;DZ;6;6.5;12.8
2;DZ;6;0.9;1.8
1;DZ;6;5.5;11.0
3;DZ;5;4.3;8.5
2;DZ;5;3.0;6.0
1;DZ;5;1.3;2.6
3;DZ;4;55.2;109.5
2;DZ;4;9.8;19.4
1;DZ;4;45.5;90.1
3;DZ;3;31.8;62.9
2;DZ;3;10.3;20.5
1;DZ;3;21.4;42.5
3;DZ;2;0.4;0.7
2;DZ;2;0.1;0.2
1;DZ;2;0.3;0.5
3;DZ;1;1.9;3.7
2;DZ;1;0.3;0.6
1;DZ;1;1.6;3.1
3;CM;z;100.0;342.1
2;CM;z;23.3;79.9
1;CM;z;76.7;262.3
3;CM;6;37.5;128.1
2;CM;6;7.4;25.2
1;CM;6;30.1;102.9
3;CM;5;4.5;15.5
2;CM;5;3.0;10.3
1;CM;5;1.5;5.2
3;CM;4;31.6;108.1
2;CM;4;7.2;24.7
1;CM;4;24.4;83.3
3;CM;3;13.6;46.4
2;CM;3;2.8;9.7
1;CM;3;10.7;36.7
3;CM;2;12.9;44.1
2;CM;2;2.9;9.9
1;CM;2;10.0;34.2
3;CL;z;100.0;382.6
2;CL;z;20.9;80.0
1;CL;z;79.1;302.6
3;CL;6;39.9;152.6
2;CL;6;7.6;29.3
1;CL;6;32.2;123.3
3;CL;5;2.2;8.3
2;CL;5;1.1;4.1
1;CL;5;1.1;4.1
3;CL;4;27.2;103.9
2;CL;4;4.9;18.9
1;CL;4;22.2;85.0
3;CL;3;30.2;115.6
2;CL;3;7.2;27.7
1;CL;3;23.0;88.0
3;CL;2;0.6;2.1
1;CL;2;0.6;2.1
3;CK;z;100.0;192.3
2;CK;z;18.9;36.4
1;CK;z;81.1;155.9
3;CK;6;37.9;72.8
2;CK;6;5.1;9.8
1;CK;6;32.8;63.0
3;CK;5;4.4;8.5
2;CK;5;4.0;7.7
1;CK;5;0.4;0.7
3;CK;4;33.4;64.2
2;CK;4;4.2;8.0
1;CK;4;29.2;56.2
3;CK;3;22.5;43.2
2;CK;3;5.3;10.2
1;CK;3;17.2;33.0
3;CK;2;1.9;3.6
2;CK;2;0.4;0.7
1;CK;2;1.5;2.9
3;CJ;z;100.0;110.7
2;CJ;z;31.7;35.1
1;CJ;z;68.3;75.7
3;CJ;6;38.2;42.4
2;CJ;6;14.2;15.7
1;CJ;6;24.0;26.6
3;CJ;5;3.7;4.1
2;CJ;5;3.5;3.9
1;CJ;5;0.2;0.2
3;CJ;4;27.3;30.2
2;CJ;4;5.4;6.0
1;CJ;4;21.9;24.2
3;CJ;3;28.6;31.6
2;CJ;3;8.3;9.2
1;CJ;3;20.3;22.4
3;CJ;2;2.2;2.5
2;CJ;2;0.2;0.3
1;CJ;2;2.0;2.2
3;CI;z;100.0;155.3
2;CI;z;32.8;51.0
1;CI;z;67.2;104.3
3;CI;6;27.8;43.2
2;CI;6;15.7;24.4
1;CI;6;12.1;18.9
3;CI;5;1.3;2.0
2;CI;5;0.5;0.8
1;CI;5;0.8;1.2
3;CI;4;24.3;37.7
2;CI;4;6.4;9.9
1;CI;4;17.9;27.8
3;CI;3;45.9;71.2
2;CI;3;10.2;15.9
1;CI;3;35.6;55.3
3;CI;2;0.7;1.2
1;CI;2;0.7;1.2
3;CH;z;100.0;408.8
2;CH;z;14.1;57.5
1;CH;z;85.9;351.3
3;CH;6;54.4;222.5
2;CH;6;5.6;23.0
1;CH;6;48.8;199.5
3;CH;5;2.7;10.9
2;CH;5;2.1;8.7
1;CH;5;0.5;2.2
3;CH;4;27.7;113.2
2;CH;4;4.2;17.0
1;CH;4;23.5;96.2
3;CH;3;12.7;52.0
2;CH;3;1.9;7.8
1;CH;3;10.8;44.2
3;CH;2;2.5;10.3
2;CH;2;0.3;1.1
1;CH;2;2.3;9.2
3;CG;z;100.0;279.4
2;CG;z;25.3;70.6
1;CG;z;74.7;208.8
3;CG;6;50.6;141.4
2;CG;6;9.5;26.6
1;CG;6;41.1;114.8
3;CG;5;4.7;13.0
2;CG;5;3.6;10.0
1;CG;5;1.1;3.0
3;CG;4;23.3;65.2
2;CG;4;6.2;17.3
1;CG;4;17.1;47.9
3;CG;3;17.7;49.3
2;CG;3;4.9;13.7
1;CG;3;12.7;35.6
3;CG;2;3.7;10.4
2;CG;2;1.0;2.9
1;CG;2;2.7;7.5
3;CF;z;100.0;91.6
2;CF;z;46.7;42.8
1;CF;z;53.3;48.9
3;CF;6;20.7;19.0
2;CF;6;3.9;3.6
1;CF;6;16.8;15.4
3;CF;5;2.5;2.2
2;CF;5;2.5;2.2
3;CF;4;42.0;38.5
2;CF;4;22.9;21.0
1;CF;4;19.1;17.5
3;CF;3;34.8;31.9
2;CF;3;17.4;15.9
1;CF;3;17.4;16.0
3;CE;z;100.0;161.2
2;CE;z;34.5;55.6
1;CE;z;65.5;105.5
3;CE;6;31.4;50.7
2;CE;6;6.8;10.9
1;CE;6;24.7;39.7
3;CE;5;5.0;8.1
2;CE;5;3.3;5.3
1;CE;5;1.7;2.8
3;CE;4;37.3;60.1
2;CE;4;13.2;21.3
1;CE;4;24.1;38.9
3;CE;3;24.5;39.5
2;CE;3;11.3;18.2
1;CE;3;13.2;21.3
3;CE;2;0.9;1.5
1;CE;2;0.9;1.5
3;CE;1;0.9;1.4
1;CE;1;0.9;1.4
3;CD;z;100.0;5.3
2;CD;z;10.0;0.5
1;CD;z;90.0;4.8
3;CD;6;33.0;1.7
1;CD;6;33.0;1.7
3;CD;5;3.5;0.2
2;CD;5;1.1;0.1
1;CD;5;2.4;0.1
3;CD;4;53.9;2.9
2;CD;4;6.2;0.3
1;CD;4;47.7;2.5
3;CD;3;9.6;0.5
2;CD;3;2.7;0.1
1;CD;3;6.9;0.4
3;CC;z;100.0;189.7
2;CC;z;25.2;47.8
1;CC;z;74.8;141.9
3;CC;6;51.5;97.8
2;CC;6;8.5;16.1
1;CC;6;43.0;81.7
3;CC;5;6.3;12.0
2;CC;5;4.8;9.2
1;CC;5;1.5;2.8
3;CC;4;23.2;44.0
2;CC;4;6.9;13.1
1;CC;4;16.3;30.9
3;CC;3;10.3;19.5
2;CC;3;3.0;5.7
1;CC;3;7.3;13.8
3;CC;2;8.4;16.0
2;CC;2;1.9;3.6
1;CC;2;6.5;12.4
3;CC;1;0.2;0.3
1;CC;1;0.2;0.3
3;CB;z;100.0;136.9
2;CB;z;65.8;90.0
1;CB;z;34.2;46.8
3;CB;6;53.9;73.8
2;CB;6;34.5;47.2
1;CB;6;19.4;26.6
3;CB;5;5.4;7.4
2;CB;5;4.4;6.0
1;CB;5;1.0;1.4
3;CB;4;16.5;22.5
2;CB;4;11.3;15.5
1;CB;4;5.1;7.0
3;CB;3;7.5;10.2
2;CB;3;3.3;4.5
1;CB;3;4.2;5.7
3;CB;2;16.7;22.9
2;CB;2;12.3;16.9
1;CB;2;4.4;6.0
3;CA;z;100.0;642.9
2;CA;z;40.2;258.3
1;CA;z;59.8;384.6
3;CA;6;56.3;362.0
2;CA;6;18.7;120.4
1;CA;6;37.6;241.6
3;CA;5;12.2;78.6
2;CA;5;11.1;71.6
1;CA;5;1.1;7.1
3;CA;4;15.2;98.0
2;CA;4;5.1;32.5
1;CA;4;10.2;65.5
3;CA;3;10.2;65.4
2;CA;3;3.5;22.3
1;CA;3;6.7;43.1
3;CA;2;6.0;38.4
2;CA;2;1.8;11.5
1;CA;2;4.2;26.9
3;CA;1;0.0;0.2
2;CA;1;0.0;0.0
1;CA;1;0.0;0.2
3;BZ;z;100.0;21.4
2;BZ;z;11.7;2.5
1;BZ;z;88.3;18.9
3;BZ;6;59.5;12.7
1;BZ;6;59.5;12.7
3;BZ;5;5.7;1.2
2;BZ;5;4.8;1.0
1;BZ;5;0.9;0.2
3;BZ;4;17.5;3.8
2;BZ;4;0.7;0.2
1;BZ;4;16.8;3.6
3;BZ;3;17.2;3.7
2;BZ;3;6.2;1.3
1;BZ;3;11.0;2.4
3;AZ;z;100.0;625.7
2;AZ;z;29.7;186.0
1;AZ;z;70.3;439.7
3;AZ;6;31.5;197.1
2;AZ;6;9.4;58.9
1;AZ;6;22.1;138.3
3;AZ;5;2.0;12.6
2;AZ;5;1.6;9.9
1;AZ;5;0.4;2.6
3;AZ;4;7.2;45.1
2;AZ;4;3.2;19.9
1;AZ;4;4.0;25.2
3;AZ;3;2.0;12.6
2;AZ;3;0.6;3.9
1;AZ;3;1.4;8.6
3;AZ;2;1.0;6.3
2;AZ;2;0.1;0.9
1;AZ;2;0.9;5.4
3;AZ;1;56.3;352.0
2;AZ;1;14.8;92.4
1;AZ;1;41.5;259.6
3;RU;z;100.0;1439.9
2;RU;z;65.5;942.8
1;RU;z;34.5;497.1
3;RU;6;7.3;105.8
2;RU;6;3.0;43.1
1;RU;6;4.4;62.7
3;RU;5;38.7;557.5
2;RU;5;32.7;470.2
1;RU;5;6.1;87.3
3;RU;4;23.5;337.6
2;RU;4;11.8;170.1
1;RU;4;11.6;167.5
3;RU;3;16.4;236.4
2;RU;3;8.2;118.1
1;RU;3;8.2;118.3
3;RU;2;13.8;198.6
2;RU;2;9.6;138.1
1;RU;2;4.2;60.6
3;RU;1;0.1;1.2
2;RU;1;0.1;0.8
1;RU;1;0.0;0.4
3;OQ;z;100.0;8551.7
2;OQ;z;68.8;5879.5
1;OQ;z;31.2;2672.2
3;OQ;6;5.6;477.8
2;OQ;6;1.3;110.5
1;OQ;6;4.3;367.4
3;OQ;5;39.5;3382.1
2;OQ;5;31.4;2682.5
1;OQ;5;8.2;699.7
3;OQ;4;35.4;3029.3
2;OQ;4;25.4;2171.1
1;OQ;4;10.0;858.2
3;OQ;3;18.8;1605.9
2;OQ;3;10.4;885.9
1;OQ;3;8.4;720.1
3;OQ;2;0.6;47.8
2;OQ;2;0.3;22.7
1;OQ;2;0.3;25.1
3;OQ;1;0.0;0.5
2;OQ;1;0.0;0.5
3;MN;z;100.0;2696.5
2;MN;z;47.7;1287.5
1;MN;z;52.3;1409.0
3;MN;6;15.1;406.4
2;MN;6;6.7;180.0
1;MN;6;8.4;226.4
3;MN;5;18.0;485.3
2;MN;5;11.2;301.3
1;MN;5;6.8;184.0
3;MN;4;23.3;628.7
2;MN;4;12.0;322.6
1;MN;4;11.4;306.1
3;MN;3;36.7;990.8
2;MN;3;16.1;433.5
1;MN;3;20.7;557.3
3;MN;2;6.7;181.8
2;MN;2;1.8;49.3
1;MN;2;4.9;132.4
3;MN;1;0.1;2.8
1;MN;1;0.1;2.8
3;JZ;z;100.0;934.4
2;JZ;z;31.1;290.4
1;JZ;z;68.9;644.0
3;JZ;6;2.2;20.3
2;JZ;6;1.0;9.5
1;JZ;6;1.2;10.8
3;JZ;5;7.8;72.5
2;JZ;5;4.1;38.0
1;JZ;5;3.7;34.5
3;JZ;4;20.2;188.3
2;JZ;4;6.5;61.0
1;JZ;4;13.6;127.3
3;JZ;3;66.3;619.5
2;JZ;3;18.6;174.1
1;JZ;3;47.7;445.4
3;JZ;2;3.5;32.6
2;JZ;2;0.7;6.6
1;JZ;2;2.8;26.0
3;GI;z;100.0;5775.1
2;GI;z;42.2;2434.4
1;GI;z;57.8;3340.7
3;GI;6;25.7;1484.9
2;GI;6;3.8;221.8
1;GI;6;21.9;1263.1
3;GI;5;30.6;1765.7
2;GI;5;20.7;1198.0
1;GI;5;9.8;567.7
3;GI;4;20.3;1175.1
2;GI;4;9.2;531.5
1;GI;4;11.1;643.5
3;GI;3;11.5;666.0
2;GI;3;4.6;263.0
1;GI;3;7.0;403.0
3;GI;2;11.6;670.1
2;GI;2;3.8;218.0
1;GI;2;7.8;452.1
3;GI;1;0.1;4.1
2;GI;1;0.0;0.8
1;GI;1;0.1;3.3
3;EV;z;100.0;20682.1
2;EV;z;55.9;11555.4
1;EV;z;44.1;9126.7
3;EV;6;12.2;2532.6
2;EV;6;2.8;579.5
1;EV;6;9.4;1953.1
3;EV;5;31.8;6579.3
2;EV;5;23.8;4919.5
1;EV;5;8.0;1659.9
3;EV;4;27.4;5662.4
2;EV;4;16.7;3455.6
1;EV;4;10.7;2206.8
3;EV;3;22.4;4626.5
2;EV;3;10.2;2105.7
1;EV;3;12.2;2520.8
3;EV;2;6.0;1250.4
2;EV;2;2.3;480.9
1;EV;2;3.7;769.5
3;EV;1;0.0;8.6
2;EV;1;0.0;2.1
1;EV;1;0.0;6.4
3;ET;z;100.0;3517.8
2;ET;z;28.5;1001.9
1;ET;z;71.5;2515.9
3;ET;6;43.4;1527.4
2;ET;6;10.3;361.7
1;ET;6;33.1;1165.7
3;ET;5;5.8;204.8
2;ET;5;4.6;162.1
1;ET;5;1.2;42.7
3;ET;4;27.2;957.0
2;ET;4;6.9;242.5
1;ET;4;20.3;714.5
3;ET;3;18.9;664.8
2;ET;3;5.3;187.7
1;ET;3;13.6;477.1
3;ET;2;4.5;157.8
2;ET;2;1.3;47.3
1;ET;2;3.1;110.5
3;ET;1;0.2;5.7
2;ET;1;0.0;0.6
1;ET;1;0.1;5.1
