SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
3;zz;z;100.0;26995.3
2;zz;z;48.6;13110.0
1;zz;z;51.4;13885.3
3;zz;6;19.2;5186.5
2;zz;6;3.8;1031.2
1;zz;6;15.4;4155.3
3;zz;5;25.8;6966.9
2;zz;5;19.4;5230.1
1;zz;5;6.4;1736.7
3;zz;4;26.0;7025.2
2;zz;4;14.1;3796.4
1;zz;4;12.0;3228.8
3;zz;3;20.4;5498.6
2;zz;3;8.7;2341.7
1;zz;3;11.7;3157.0
3;zz;2;6.8;1836.0
2;zz;2;2.1;556.6
1;zz;2;4.7;1279.4
3;zz;1;1.4;368.0
2;zz;1;0.4;96.4
1;zz;1;1.0;271.6
3;XX;z;100.0;372.4
2;XX;z;44.8;166.7
1;XX;z;55.2;205.7
3;XX;6;22.9;85.4
2;XX;6;4.0;14.8
1;XX;6;19.0;70.6
3;XX;5;20.8;77.4
2;XX;5;14.6;54.4
1;XX;5;6.2;22.9
3;XX;4;16.1;59.8
2;XX;4;7.8;29.0
1;XX;4;8.3;30.8
3;XX;3;12.8;47.6
2;XX;3;4.8;17.8
1;XX;3;8.0;29.8
3;XX;2;3.3;12.2
2;XX;2;1.4;5.2
1;XX;2;1.9;7.1
3;XX;1;0.1;0.5
2;XX;1;0.1;0.4
1;XX;1;0.0;0.1
3;UZ;z;100.0;20.1
2;UZ;z;64.0;12.9
1;UZ;z;36.0;7.3
3;UZ;6;5.4;1.1
2;UZ;6;2.8;0.6
1;UZ;6;2.6;0.5
3;UZ;5;10.1;2.0
2;UZ;5;4.8;1.0
1;UZ;5;5.3;1.1
3;UZ;4;27.6;5.6
2;UZ;4;19.8;4.0
1;UZ;4;7.8;1.6
3;UZ;3;56.9;11.4
2;UZ;3;36.6;7.4
1;UZ;3;20.3;4.1
3;TZ;z;100.0;287.0
2;TZ;z;88.8;255.0
1;TZ;z;11.2;32.0
3;TZ;6;5.9;16.9
2;TZ;6;1.1;3.2
1;TZ;6;4.8;13.7
3;TZ;5;91.4;262.3
2;TZ;5;85.3;244.7
1;TZ;5;6.1;17.6
3;TZ;4;2.1;6.1
2;TZ;4;1.9;5.4
1;TZ;4;0.2;0.7
3;TZ;3;0.0;0.0
1;TZ;3;0.0;0.0
3;TZ;2;0.2;0.5
2;TZ;2;0.2;0.5
3;SZ;z;100.0;684.3
2;SZ;z;68.2;466.4
1;SZ;z;31.8;217.9
3;SZ;6;9.2;63.1
2;SZ;6;4.2;28.7
1;SZ;6;5.0;34.4
3;SZ;5;31.1;212.7
2;SZ;5;25.2;172.3
1;SZ;5;5.9;40.4
3;SZ;4;22.2;151.9
2;SZ;4;12.9;88.1
1;SZ;4;9.3;63.8
3;SZ;3;12.9;88.3
2;SZ;3;7.3;49.9
1;SZ;3;5.6;38.4
3;SZ;2;24.4;167.2
2;SZ;2;18.5;126.7
1;SZ;2;5.9;40.5
3;RZ;z;100.0;448.5
2;RZ;z;46.5;208.5
1;RZ;z;53.5;239.9
3;RZ;6;5.5;24.7
2;RZ;6;2.4;10.7
1;RZ;6;3.1;14.1
3;RZ;5;17.9;80.4
2;RZ;5;11.6;52.2
1;RZ;5;6.3;28.2
3;RZ;4;38.8;174.1
2;RZ;4;16.2;72.6
1;RZ;4;22.6;101.4
3;RZ;3;30.5;136.6
2;RZ;3;13.6;60.9
1;RZ;3;16.9;75.7
3;RZ;2;6.9;30.9
2;RZ;2;2.4;10.8
1;RZ;2;4.5;20.1
3;RZ;1;0.3;1.2
2;RZ;1;0.2;0.8
1;RZ;1;0.1;0.4
3;QB;z;100.0;1899.8
2;QB;z;82.7;1571.8
1;QB;z;17.3;327.9
3;QB;6;7.5;143.3
2;QB;6;2.6;50.1
1;QB;6;4.9;93.2
3;QB;5;64.4;1222.7
2;QB;5;58.9;1118.6
1;QB;5;5.5;104.1
3;QB;4;23.7;450.0
2;QB;4;18.1;343.0
1;QB;4;5.6;107.0
3;QB;3;3.9;74.3
2;QB;3;2.9;54.3
1;QB;3;1.1;20.0
3;QB;2;0.2;3.7
2;QB;2;0.0;0.9
1;QB;2;0.1;2.8
3;QA;z;100.0;2022.1
2;QA;z;74.7;1511.3
1;QA;z;25.3;510.8
3;QA;6;1.6;32.0
2;QA;6;0.5;10.1
1;QA;6;1.1;21.9
3;QA;5;33.0;668.3
2;QA;5;27.4;554.6
1;QA;5;5.6;113.7
3;QA;4;45.6;922.9
2;QA;4;36.0;727.5
1;QA;4;9.7;195.4
3;QA;3;18.7;378.3
2;QA;3;10.2;206.4
1;QA;3;8.5;171.9
3;QA;2;1.0;19.9
2;QA;2;0.6;12.7
1;QA;2;0.4;7.2
3;PZ;z;100.0;2109.4
2;PZ;z;68.5;1444.9
1;PZ;z;31.5;664.5
3;PZ;6;2.7;56.0
2;PZ;6;0.9;19.9
1;PZ;6;1.7;36.2
3;PZ;5;18.8;397.1
2;PZ;5;16.6;349.3
1;PZ;5;2.3;47.8
3;PZ;4;45.1;951.8
2;PZ;4;32.2;679.6
1;PZ;4;12.9;272.2
3;PZ;3;32.4;683.2
2;PZ;3;18.4;387.7
1;PZ;3;14.0;295.5
3;PZ;2;1.0;20.1
2;PZ;2;0.3;7.3
1;PZ;2;0.6;12.8
3;PZ;1;0.0;0.5
2;PZ;1;0.0;0.5
3;OZ;z;100.0;2520.4
2;OZ;z;53.6;1351.5
1;OZ;z;46.4;1168.9
3;OZ;6;9.8;246.6
2;OZ;6;1.2;30.4
1;OZ;6;8.6;216.2
3;OZ;5;43.4;1094.1
2;OZ;5;26.2;660.0
1;OZ;5;17.2;434.0
3;OZ;4;28.0;704.6
2;OZ;4;16.7;420.9
1;OZ;4;11.3;283.6
3;OZ;3;18.7;470.1
2;OZ;3;9.4;237.5
1;OZ;3;9.2;232.6
3;OZ;2;0.2;4.1
2;OZ;2;0.1;1.8
1;OZ;2;0.1;2.3
3;NZ;z;100.0;1024.8
2;NZ;z;47.3;484.9
1;NZ;z;52.7;539.9
3;NZ;6;34.0;348.6
2;NZ;6;15.6;160.2
1;NZ;6;18.4;188.4
3;NZ;5;27.6;283.1
2;NZ;5;14.1;144.3
1;NZ;5;13.5;138.8
3;NZ;4;17.0;173.9
2;NZ;4;9.6;98.4
1;NZ;4;7.4;75.5
3;NZ;3;11.3;115.7
2;NZ;3;5.6;57.3
1;NZ;3;5.7;58.4
3;NZ;2;9.9;101.3
2;NZ;2;2.4;24.7
1;NZ;2;7.5;76.6
3;NZ;1;0.2;2.2
1;NZ;1;0.2;2.2
3;MC;z;100.0;280.5
2;MC;z;51.5;144.6
1;MC;z;48.5;135.9
3;MC;6;9.8;27.4
2;MC;6;3.0;8.5
1;MC;6;6.7;18.9
3;MC;5;11.8;33.0
2;MC;5;9.8;27.5
1;MC;5;2.0;5.5
3;MC;4;35.7;100.0
2;MC;4;19.9;55.8
1;MC;4;15.8;44.2
3;MC;3;34.8;97.5
2;MC;3;17.2;48.2
1;MC;3;17.6;49.3
3;MC;2;7.9;22.3
2;MC;2;1.7;4.6
1;MC;2;6.3;17.6
3;MC;1;0.1;0.3
1;MC;1;0.1;0.3
3;MB;z;100.0;189.9
2;MB;z;47.2;89.7
1;MB;z;52.8;100.2
3;MB;6;2.2;4.1
2;MB;6;1.1;2.2
1;MB;6;1.0;2.0
3;MB;5;5.7;10.9
2;MB;5;4.6;8.6
1;MB;5;1.2;2.2
3;MB;4;22.2;42.1
2;MB;4;10.9;20.8
1;MB;4;11.3;21.4
3;MB;3;69.1;131.3
2;MB;3;30.4;57.7
1;MB;3;38.8;73.6
3;MB;2;0.8;1.5
2;MB;2;0.2;0.5
1;MB;2;0.5;1.0
3;MA;z;100.0;1201.3
2;MA;z;47.3;568.3
1;MA;z;52.7;632.9
3;MA;6;2.2;26.3
2;MA;6;0.8;9.1
1;MA;6;1.4;17.1
3;MA;5;13.2;158.2
2;MA;5;10.1;120.9
1;MA;5;3.1;37.4
3;MA;4;26.0;312.6
2;MA;4;12.3;147.6
1;MA;4;13.7;165.0
3;MA;3;53.8;646.3
2;MA;3;22.5;270.3
1;MA;3;31.3;376.0
3;MA;2;4.7;56.7
2;MA;2;1.6;19.5
1;MA;2;3.1;37.2
3;MA;1;0.0;0.2
1;MA;1;0.0;0.2
3;LZ;z;100.0;323.2
2;LZ;z;56.9;184.0
1;LZ;z;43.1;139.2
3;LZ;6;6.7;21.7
2;LZ;6;2.7;8.9
1;LZ;6;4.0;12.8
3;LZ;5;23.9;77.1
2;LZ;5;14.8;47.9
1;LZ;5;9.0;29.2
3;LZ;4;25.1;81.0
2;LZ;4;16.7;54.0
1;LZ;4;8.4;27.0
3;LZ;3;19.0;61.5
2;LZ;3;10.8;34.8
1;LZ;3;8.3;26.7
3;LZ;2;25.3;81.9
2;LZ;2;11.9;38.4
1;LZ;2;13.5;43.5
3;KZ;z;100.0;961.3
2;KZ;z;55.8;536.7
1;KZ;z;44.2;424.6
3;KZ;6;1.6;15.7
2;KZ;6;0.6;5.7
1;KZ;6;1.0;10.0
3;KZ;5;24.9;239.2
2;KZ;5;18.9;181.6
1;KZ;5;6.0;57.6
3;KZ;4;23.1;222.4
2;KZ;4;15.1;145.3
1;KZ;4;8.0;77.1
3;KZ;3;46.4;446.5
2;KZ;3;20.4;196.3
1;KZ;3;26.0;250.1
3;KZ;2;3.9;37.6
2;KZ;2;0.8;7.8
1;KZ;2;3.1;29.8
3;JC;z;100.0;541.4
2;JC;z;26.3;142.2
1;JC;z;73.7;399.2
3;JC;6;1.4;7.7
2;JC;6;0.6;3.4
1;JC;6;0.8;4.3
3;JC;5;6.4;34.6
2;JC;5;2.9;15.9
1;JC;5;3.5;18.7
3;JC;4;17.3;93.8
2;JC;4;5.0;27.3
1;JC;4;12.3;66.5
3;JC;3;70.2;380.0
2;JC;3;17.0;91.9
1;JC;3;53.2;288.2
3;JC;2;4.6;24.6
2;JC;2;0.6;3.1
1;JC;2;4.0;21.5
3;JB;z;100.0;123.6
2;JB;z;24.1;29.8
1;JB;z;75.9;93.8
3;JB;6;3.3;4.1
2;JB;6;0.6;0.7
1;JB;6;2.7;3.4
3;JB;5;9.4;11.6
2;JB;5;4.0;4.9
1;JB;5;5.4;6.7
3;JB;4;31.2;38.5
2;JB;4;6.4;7.9
1;JB;4;24.7;30.6
3;JB;3;55.5;68.6
2;JB;3;12.7;15.7
1;JB;3;42.8;52.9
3;JB;2;0.2;0.2
1;JB;2;0.2;0.2
3;JA;z;100.0;269.5
2;JA;z;44.0;118.4
1;JA;z;56.0;151.0
3;JA;6;3.2;8.5
2;JA;6;2.0;5.4
1;JA;6;1.2;3.1
3;JA;5;9.8;26.3
2;JA;5;6.4;17.2
1;JA;5;3.4;9.1
3;JA;4;20.8;56.0
2;JA;4;9.6;25.8
1;JA;4;11.2;30.2
3;JA;3;63.4;170.8
2;JA;3;24.7;66.5
1;JA;3;38.7;104.3
3;JA;2;2.9;7.7
2;JA;2;1.3;3.4
1;JA;2;1.6;4.3
3;IZ;z;100.0;993.5
2;IZ;z;49.3;490.2
1;IZ;z;50.7;503.3
3;IZ;6;19.8;196.7
2;IZ;6;5.1;51.1
1;IZ;6;14.7;145.6
3;IZ;5;43.5;432.2
2;IZ;5;28.4;282.4
1;IZ;5;15.1;149.7
3;IZ;4;15.2;150.6
2;IZ;4;6.6;65.3
1;IZ;4;8.6;85.3
3;IZ;3;5.8;57.8
2;IZ;3;2.8;27.7
1;IZ;3;3.0;30.0
3;IZ;2;15.7;155.7
2;IZ;2;6.4;63.2
1;IZ;2;9.3;92.5
3;IZ;1;0.0;0.2
1;IZ;1;0.0;0.2
3;HZ;z;100.0;1385.0
2;HZ;z;25.8;356.9
1;HZ;z;74.2;1028.2
3;HZ;6;48.7;674.4
2;HZ;6;5.7;78.8
1;HZ;6;43.0;595.6
3;HZ;5;15.9;220.3
2;HZ;5;9.5;131.9
1;HZ;5;6.4;88.4
3;HZ;4;17.2;238.6
2;HZ;4;6.3;86.9
1;HZ;4;11.0;151.7
3;HZ;3;11.9;164.9
2;HZ;3;3.8;53.0
1;HZ;3;8.1;111.9
3;HZ;2;6.0;83.3
2;HZ;2;0.5;6.3
1;HZ;2;5.6;77.0
3;HZ;1;0.0;0.4
1;HZ;1;0.0;0.4
3;GZ;z;100.0;3396.6
2;GZ;z;46.7;1587.4
1;GZ;z;53.3;1809.2
3;GZ;6;18.1;613.9
2;GZ;6;2.7;91.9
1;GZ;6;15.4;521.9
3;GZ;5;32.8;1113.2
2;GZ;5;23.1;783.6
1;GZ;5;9.7;329.6
3;GZ;4;23.1;785.9
2;GZ;4;11.2;379.4
1;GZ;4;12.0;406.5
