SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
3;OZ;5;45.1;1114.7
2;OZ;5;26.8;662.5
1;OZ;5;18.3;452.2
3;OZ;4;26.9;664.6
2;OZ;4;15.6;384.9
1;OZ;4;11.3;279.6
3;OZ;3;18.2;449.7
2;OZ;3;9.5;233.9
1;OZ;3;8.7;215.9
3;OZ;2;0.1;3.4
2;OZ;2;0.1;2.2
1;OZ;2;0.0;1.2
3;NZ;z;100.0;1057.8
2;NZ;z;48.1;508.8
1;NZ;z;51.9;549.0
3;NZ;6;35.5;375.2
2;NZ;6;17.1;181.0
1;NZ;6;18.4;194.2
3;NZ;5;25.8;272.5
2;NZ;5;13.3;140.8
1;NZ;5;12.4;131.6
3;NZ;4;17.9;189.2
2;NZ;4;10.2;107.7
1;NZ;4;7.7;81.5
3;NZ;3;11.2;118.6
2;NZ;3;4.9;52.4
1;NZ;3;6.3;66.3
3;NZ;2;9.2;96.8
2;NZ;2;2.3;24.7
1;NZ;2;6.8;72.1
3;NZ;1;0.3;3.5
2;NZ;1;0.1;0.8
1;NZ;1;0.2;2.6
3;MC;z;100.0;270.8
2;MC;z;52.3;141.7
1;MC;z;47.7;129.2
3;MC;6;8.0;21.6
2;MC;6;3.3;8.9
1;MC;6;4.7;12.7
3;MC;5;11.5;31.2
2;MC;5;10.0;27.2
1;MC;5;1.5;4.1
3;MC;4;36.4;98.5
2;MC;4;20.5;55.6
1;MC;4;15.8;42.9
3;MC;3;36.8;99.8
2;MC;3;16.5;44.6
1;MC;3;20.4;55.2
3;MC;2;7.3;19.7
2;MC;2;2.0;5.4
1;MC;2;5.3;14.3
3;MB;z;100.0;212.7
2;MB;z;46.3;98.6
1;MB;z;53.7;114.1
3;MB;6;3.8;8.1
2;MB;6;1.7;3.5
1;MB;6;2.1;4.6
3;MB;5;5.8;12.3
2;MB;5;4.7;10.0
1;MB;5;1.1;2.3
3;MB;4;23.0;48.9
2;MB;4;12.8;27.2
1;MB;4;10.2;21.7
3;MB;3;66.9;142.2
2;MB;3;27.0;57.5
1;MB;3;39.8;84.8
3;MB;2;0.6;1.2
2;MB;2;0.2;0.3
1;MB;2;0.4;0.8
3;MA;z;100.0;1145.7
2;MA;z;46.8;535.8
1;MA;z;53.2;609.9
3;MA;6;2.5;28.9
2;MA;6;0.7;7.6
1;MA;6;1.9;21.3
3;MA;5;13.2;151.4
2;MA;5;9.9;113.5
1;MA;5;3.3;37.9
3;MA;4;27.0;309.2
