SEXE;NAFG038UN;PCS1;POPEMPL;POURCENT
ENSEMBLE;zz;z;28341,1;100
ENSEMBLE;XX;z;434;100
ENSEMBLE;UZ;z;14,9;100
ENSEMBLE;TZ;z;249,1;100
ENSEMBLE;SZ;z;843,7;100
ENSEMBLE;RZ;z;620;100
ENSEMBLE;RU;z;1727,7;100
ENSEMBLE;QB;z;1982,5;100
ENSEMBLE;QA;z;1979,7;100
ENSEMBLE;PZ;z;2146,8;100
ENSEMBLE;OZ;z;2342;100
ENSEMBLE;OQ;z;8451,1;100
ENSEMBLE;NZ;z;1205;100
ENSEMBLE;MN;z;3057,7;100
ENSEMBLE;MC;z;308,1;100
ENSEMBLE;MB;z;176,9;100
ENSEMBLE;MA;z;1367,7;100
ENSEMBLE;LZ;z;348,6;100
ENSEMBLE;KZ;z;955,4;100
ENSEMBLE;JZ;z;977,2;100
ENSEMBLE;JC;z;576,2;100
ENSEMBLE;JB;z;116,2;100
ENSEMBLE;JA;z;284,8;100
ENSEMBLE;IZ;z;1144,3;100
ENSEMBLE;HZ;z;1443,9;100
ENSEMBLE;GZ;z;3705,3;100
ENSEMBLE;GI;z;6293,5;100
ENSEMBLE;FZ;z;1838,6;100
ENSEMBLE;EZ;z;216,5;100
ENSEMBLE;EV;z;21811,2;100
ENSEMBLE;ET;z;3535,3;100
ENSEMBLE;DZ;z;183,6;100
ENSEMBLE;CM;z;362,4;100
ENSEMBLE;CL;z;340,4;100
ENSEMBLE;CK;z;175,8;100
ENSEMBLE;CJ;z;119,8;100
ENSEMBLE;CI;z;171;100
ENSEMBLE;CH;z;413,4;100
ENSEMBLE;CG;z;274,6;100
ENSEMBLE;CF;z;92,5;100
ENSEMBLE;CE;z;163,6;100
ENSEMBLE;CD;z;6,6;100
ENSEMBLE;CC;z;188,8;100
ENSEMBLE;CB;z;131,6;100
ENSEMBLE;CA;z;655,7;100
ENSEMBLE;BZ;z;39,1;100
ENSEMBLE;AZ;z;722,1;100
ENSEMBLE;zz;X;119,7;0,4
ENSEMBLE;XX;X;45,6;10,5
ENSEMBLE;UZ;X;0,2;1,4
ENSEMBLE;TZ;X;1,3;0,5
ENSEMBLE;SZ;X;1,8;0,2
ENSEMBLE;RZ;X;4,7;0,8
ENSEMBLE;RU;X;8;0,5
ENSEMBLE;QB;X;5,7;0,3
ENSEMBLE;QA;X;2,4;0,1
ENSEMBLE;PZ;X;6,7;0,3
ENSEMBLE;OZ;X;26,1;1,1
ENSEMBLE;OQ;X;40,9;0,5
ENSEMBLE;NZ;X;1,2;0,1
ENSEMBLE;MN;X;3,9;0,1
ENSEMBLE;MC;X;0;0
ENSEMBLE;MB;X;0,1;0,1
ENSEMBLE;MA;X;2,5;0,2
ENSEMBLE;LZ;X;1,6;0,5
ENSEMBLE;KZ;X;0,8;0,1
ENSEMBLE;JZ;X;1,6;0,2
ENSEMBLE;JC;X;0,6;0,1
ENSEMBLE;JB;X;0,1;0
ENSEMBLE;JA;X;0,9;0,3
ENSEMBLE;IZ;X;2,2;0,2
ENSEMBLE;HZ;X;1,4;0,1
ENSEMBLE;GZ;X;4,1;0,1
ENSEMBLE;GI;X;7,7;0,1
ENSEMBLE;FZ;X;1,4;0,1
ENSEMBLE;EZ;X;0,6;0,3
ENSEMBLE;EV;X;64,5;0,3
ENSEMBLE;ET;X;7,3;0,2
ENSEMBLE;DZ;X;1,6;0,9
ENSEMBLE;CM;X;0,7;0,2
ENSEMBLE;CL;X;0,8;0,2
ENSEMBLE;CK;X;0;0
ENSEMBLE;CJ;X;0;0
ENSEMBLE;CI;X;0,1;0,1
ENSEMBLE;CH;X;0,2;0,1
ENSEMBLE;CG;X;0,6;0,2
ENSEMBLE;CF;X;0,7;0,7
ENSEMBLE;CE;X;0;0
ENSEMBLE;CD;X;0;0
ENSEMBLE;CC;X;0;0
ENSEMBLE;CB;X;0;0
ENSEMBLE;CA;X;2,1;0,3
ENSEMBLE;BZ;X;0;0
ENSEMBLE;AZ;X;0,9;0,1
ENSEMBLE;zz;6;5363,4;18,9
ENSEMBLE;XX;6;92,8;21,4
ENSEMBLE;UZ;6;1,1;7,5
ENSEMBLE;TZ;6;14,6;5,9
ENSEMBLE;SZ;6;72,1;8,5
ENSEMBLE;RZ;6;58,4;9,4
ENSEMBLE;RU;6;146,2;8,5
ENSEMBLE;QB;6;136,6;6,9
ENSEMBLE;QA;6;47,2;2,4
ENSEMBLE;PZ;6;54,8;2,6
ENSEMBLE;OZ;6;237;10,1
ENSEMBLE;OQ;6;475,7;5,6
ENSEMBLE;NZ;6;390;32,4
ENSEMBLE;MN;6;460,6;15,1
ENSEMBLE;MC;6;23;7,4
ENSEMBLE;MB;6;6,2;3,5
ENSEMBLE;MA;6;41,4;3
ENSEMBLE;LZ;6;15,9;4,6
ENSEMBLE;KZ;6;24,7;2,6
ENSEMBLE;JZ;6;21,3;2,2
ENSEMBLE;JC;6;8,2;1,4
ENSEMBLE;JB;6;2,9;2,5
ENSEMBLE;JA;6;10,1;3,6
ENSEMBLE;IZ;6;195,4;17,1
ENSEMBLE;HZ;6;704,7;48,8
ENSEMBLE;GZ;6;668;18
ENSEMBLE;GI;6;1568,1;24,9
ENSEMBLE;FZ;6;840,1;45,7
ENSEMBLE;EZ;6;93,5;43,2
ENSEMBLE;EV;6;2712,5;12,4
ENSEMBLE;ET;6;1497,2;42,3
ENSEMBLE;DZ;6;10,3;5,6
ENSEMBLE;CM;6;123,7;34,1
ENSEMBLE;CL;6;130,8;38,4
ENSEMBLE;CK;6;71;40,4
ENSEMBLE;CJ;6;51,1;42,7
ENSEMBLE;CI;6;54,7;32
ENSEMBLE;CH;6;222,7;53,9
ENSEMBLE;CG;6;140,9;51,3
ENSEMBLE;CF;6;15;16,3
ENSEMBLE;CE;6;50,2;30,7
ENSEMBLE;CD;6;3;44,9
ENSEMBLE;CC;6;102,7;54,4
ENSEMBLE;CB;6;73,4;55,8
ENSEMBLE;CA;6;333,6;50,9
ENSEMBLE;BZ;6;20,7;52,9
ENSEMBLE;AZ;6;220,8;30,6
ENSEMBLE;zz;5;7359,5;26
ENSEMBLE;XX;5;102,9;23,7
ENSEMBLE;UZ;5;3,7;24,8
ENSEMBLE;TZ;5;231,5;93
ENSEMBLE;SZ;5;242,8;28,8
ENSEMBLE;RZ;5;129,5;20,9
ENSEMBLE;RU;5;607,5;35,2
ENSEMBLE;QB;5;1214,2;61,2
ENSEMBLE;QA;5;628,7;31,8
ENSEMBLE;PZ;5;432,6;20,2
ENSEMBLE;OZ;5;905,1;38,6
ENSEMBLE;OQ;5;3180,5;37,6
ENSEMBLE;NZ;5;355,1;29,5
ENSEMBLE;MN;5;609,2;19,9
ENSEMBLE;MC;5;37,4;12,1
ENSEMBLE;MB;5;7,3;4,1
ENSEMBLE;MA;5;209,4;15,3
ENSEMBLE;LZ;5;103,1;29,6
ENSEMBLE;KZ;5;281;29,4
ENSEMBLE;JZ;5;58;5,9
ENSEMBLE;JC;5;28,9;5
ENSEMBLE;JB;5;12,1;10,4
ENSEMBLE;JA;5;17;6
ENSEMBLE;IZ;5;535,4;46,8
ENSEMBLE;HZ;5;242,1;16,8
ENSEMBLE;GZ;5;1242,3;33,5
ENSEMBLE;GI;5;2019,8;32,1
ENSEMBLE;FZ;5;116,1;6,3
ENSEMBLE;EZ;5;26,8;12,4
ENSEMBLE;EV;5;6859,1;31,4
ENSEMBLE;ET;5;257,1;7,3
ENSEMBLE;DZ;5;17,2;9,4
ENSEMBLE;CM;5;20;5,5
ENSEMBLE;CL;5;6,2;1,8
ENSEMBLE;CK;5;8,6;4,9
ENSEMBLE;CJ;5;3,3;2,7
ENSEMBLE;CI;5;6,8;4
ENSEMBLE;CH;5;19,3;4,7
ENSEMBLE;CG;5;16,9;6,1
ENSEMBLE;CF;5;5,7;6,1
ENSEMBLE;CE;5;4,8;3
ENSEMBLE;CD;5;0,3;4,4
ENSEMBLE;CC;5;9,3;4,9
ENSEMBLE;CB;5;6,9;5,3
ENSEMBLE;CA;5;102,2;15,6
ENSEMBLE;BZ;5;2,8;7,2
ENSEMBLE;AZ;5;24,5;3,4
ENSEMBLE;zz;4;6979,2;24,6
ENSEMBLE;XX;4;74,3;17,1
ENSEMBLE;UZ;4;2,2;14,7
ENSEMBLE;TZ;4;1,6;0,6
ENSEMBLE;SZ;4;174,9;20,7
ENSEMBLE;RZ;4;225,6;36,4
ENSEMBLE;RU;4;404,3;23,4
ENSEMBLE;QB;4;521,7;26,3
ENSEMBLE;QA;4;873,3;44,1
ENSEMBLE;PZ;4;889,4;41,4
ENSEMBLE;OZ;4;688,4;29,4
ENSEMBLE;OQ;4;2972,8;35,2
ENSEMBLE;NZ;4;201,5;16,7
ENSEMBLE;MN;4;641,9;21
ENSEMBLE;MC;4;101,2;32,8
ENSEMBLE;MB;4;32,6;18,4
ENSEMBLE;MA;4;306,6;22,4
ENSEMBLE;LZ;4;84,6;24,3
ENSEMBLE;KZ;4;176,2;18,4
ENSEMBLE;JZ;4;210;21,5
ENSEMBLE;JC;4;115;20
ENSEMBLE;JB;4;37,1;31,9
ENSEMBLE;JA;4;57,8;20,3
ENSEMBLE;IZ;4;160,9;14,1
ENSEMBLE;HZ;4;244;16,9
ENSEMBLE;GZ;4;802,6;21,7
ENSEMBLE;GI;4;1207,5;19,2
ENSEMBLE;FZ;4;293,1;15,9
ENSEMBLE;EZ;4;66,6;30,8
ENSEMBLE;EV;4;5697,4;26,1
ENSEMBLE;ET;4;878,2;24,8
ENSEMBLE;DZ;4;89,9;48,9
ENSEMBLE;CM;4;100,2;27,7
ENSEMBLE;CL;4;82,3;24,2
ENSEMBLE;CK;4;53;30,2
ENSEMBLE;CJ;4;31,3;26,2
ENSEMBLE;CI;4;32,4;19
ENSEMBLE;CH;4;100,2;24,2
ENSEMBLE;CG;4;58,4;21,3
ENSEMBLE;CF;4;30,8;33,2
ENSEMBLE;CE;4;57;34,9
ENSEMBLE;CD;4;1,9;28,7
ENSEMBLE;CC;4;40,3;21,3
