annee;secteur;pop_femmes;pop_total;part_femmes
2019;Autres activités de services;225.7;468.5;48.2
2019;Autres activités spécialisées;141.7;270.8;52.3
2019;Autres industries manufacturières;81.8;336.4;24.3
2019;Bois, papier, imprimerie;48.2;186.8;25.8
2019;Caoutchouc, plastiques, minéraux;76.7;311.2;24.6
2019;Cokéfaction et raffinage;0.9;6.7;13.4
2019;Commerce, réparation automobiles;1596.9;3397.0;47.0
2019;Commerce, transports, hébergement;2448.0;5830.9;42.0
2019;Construction;190.8;1823.5;10.5
2019;Eau, assainissement, déchets;49.4;209.1;23.6
2019;Enseignement;1385.8;2032.0;68.2
2019;Ensemble;13184.2;27176.0;48.5
2019;Hébergement et restauration;488.9;1022.5;47.8
2019;Hébergement médico-social, action sociale;1622.2;1937.3;83.7
2019;Industrie (total);1057.9;3645.6;29.0
2019;Industrie chimique;57.6;163.2;35.3
2019;Industrie pharmaceutique;43.7;89.1;49.0
2019;Industries extractives;2.9;24.1;12.0
2019;Information et communication;272.7;874.2;31.2
2019;Informatique, électronique, optique;50.0;154.0;32.5
2019;Machines et équipements;33.4;213.5;15.6
2019;Matériels de transport;82.9;409.4;20.2
2019;Métallurgie, produits métalliques;70.7;418.8;16.9
2019;Non classé;15.5;24.6;63.0
2019;Non renseigné;173.7;400.9;43.3
2019;Recherche-développement;98.6;212.7;46.4
2019;Santé humaine;1508.5;2029.2;74.3
2019;Tertiaire (total);11566.3;20627.8;56.1
2019;Textile, habillement, cuir;78.5;121.1;64.8
2019;Transports et entreposage;362.3;1411.3;25.7
2019;Télécommunications;31.3;96.2;32.5
2019;Édition, audiovisuel;113.1;276.6;40.9
2019;Électricité, gaz, vapeur;54.2;217.9;24.9
2019;Équipements électriques;31.0;104.6;29.6
2020;Activités de services administratifs;484.9;1024.8;47.3
2020;Activités des ménages employeurs;466.4;684.3;68.2
2020;Activités extra-territoriales;255.0;287.0;88.9
2020;Activités financières et assurance;536.7;961.3;55.8
2020;Activités immobilières;184.0;323.2;56.9
2020;Activités informatiques;142.2;541.4;26.3
2020;Activités juridiques, conseil, ingénierie;568.3;1201.3;47.3
2020;Activités spécialisées et soutien;1287.5;2696.5;47.7
2020;Admin. publique, enseignement, santé;5879.5;8551.7;68.8
2020;Administration publique;1351.5;2520.4;53.6
2020;Agriculture, sylviculture et pêche;186.0;625.7;29.7
2020;Alimentation, boissons, tabac;258.3;642.9;40.2
2020;Arts, spectacles, activités récréatives;942.8;1439.9;65.5
2020;Autres activités de services;208.5;448.5;46.5
2020;Autres activités spécialisées;144.6;280.5;51.6
2020;Autres industries manufacturières;79.9;342.1;23.4
2020;Bois, papier, imprimerie;47.8;189.7;25.2
2020;Caoutchouc, plastiques, minéraux;70.6;279.4;25.3
2020;Cokéfaction et raffinage;0.5;5.3;9.4
2020;Commerce, réparation automobiles;1587.4;3396.6;46.7
2020;Commerce, transports, hébergement;2434.4;5775.1;42.2
2020;Construction;200.0;1797.4;11.1
2020;Eau, assainissement, déchets;45.6;199.5;22.9
2020;Enseignement;1444.9;2109.4;68.5
2020;Ensemble;13110.0;26995.3;48.6
2020;Hébergement et restauration;490.2;993.5;49.3
2020;Hébergement médico-social, action sociale;1571.8;1899.8;82.7
2020;Industrie (total);1001.9;3517.8;28.5
2020;Industrie chimique;55.6;161.2;34.5
2020;Industrie pharmaceutique;42.8;91.6;46.7
2020;Industries extractives;2.5;21.4;11.7
2020;Information et communication;290.4;934.4;31.1
2020;Informatique, électronique, optique;51.0;155.3;32.8
2020;Machines et équipements;36.4;192.3;18.9
2020;Matériels de transport;80.0;382.6;20.9
2020;Métallurgie, produits métalliques;57.5;408.8;14.1
2020;Non classé;12.9;20.1;64.2
2020;Non renseigné;166.7;372.4;44.8
2020;Recherche-développement;89.7;189.9;47.2
2020;Santé humaine;1511.3;2022.1;74.7
2020;Tertiaire (total);11555.4;20682.1;55.9
2020;Textile, habillement, cuir;90.0;136.9;65.7
2020;Transports et entreposage;356.9;1385.0;25.8
2020;Télécommunications;29.8;123.6;24.1
2020;Édition, audiovisuel;118.4;269.5;43.9
2020;Électricité, gaz, vapeur;48.4;198.2;24.4
2020;Équipements électriques;35.1;110.7;31.7
2021;Activités de services administratifs;539.1;1127.6;47.8
2021;Activités des ménages employeurs;523.8;782.3;67.0
2021;Activités extra-territoriales;243.9;270.6;90.1
2021;Activités financières et assurance;573.3;1007.2;56.9
2021;Activités immobilières;201.0;350.1;57.4
2021;Activités informatiques;159.0;572.6;27.8
2021;Activités juridiques, conseil, ingénierie;598.0;1287.4;46.5
2021;Activités spécialisées et soutien;1376.2;2906.1;47.4
2021;Admin. publique, enseignement, santé;5787.7;8348.4;69.3
2021;Administration publique;1225.7;2298.5;53.3
2021;Agriculture, sylviculture et pêche;191.5;675.9;28.3
2021;Alimentation, boissons, tabac;248.3;633.8;39.2
2021;Arts, spectacles, activités récréatives;1050.7;1613.5;65.1
2021;Autres activités de services;272.6;543.9;50.1
2021;Autres activités spécialisées;147.1;290.7;50.6
2021;Autres industries manufacturières;92.0;359.3;25.6
2021;Bois, papier, imprimerie;48.3;185.2;26.1
2021;Caoutchouc, plastiques, minéraux;72.0;264.9;27.2
2021;Cokéfaction et raffinage;1.8;10.0;18.0
2021;Commerce, réparation automobiles;1604.8;3465.9;46.3
2021;Commerce, transports, hébergement;2485.0;5941.2;41.8
2021;Construction;226.2;1779.0;12.7
2021;Eau, assainissement, déchets;59.5;213.3;27.9
2021;Enseignement;1490.7;2166.1;68.8
2021;Ensemble;13568.4;27727.6;48.9
2021;Hébergement et restauration;513.4;1054.6;48.7
2021;Hébergement médico-social, action sociale;1626.5;1970.9;82.5
2021;Industrie (total);1059.9;3482.6;30.4
2021;Industrie chimique;59.0;160.7;36.7
2021;Industrie pharmaceutique;45.7;86.4;52.9
2021;Industries extractives;4.0;28.0;14.3
2021;Information et communication;311.0;989.9;31.4
2021;Informatique, électronique, optique;56.5;154.0;36.7
2021;Machines et équipements;36.0;179.2;20.1
2021;Matériels de transport;72.3;358.0;20.2
2021;Métallurgie, produits métalliques;68.3;402.9;17.0
2021;Non classé;10.5;16.8;62.5
2021;Non renseigné;305.8;633.7;48.3
2021;Recherche-développement;92.1;200.4;46.0
2021;Santé humaine;1444.9;1912.8;75.5
2021;Tertiaire (total);11784.9;21156.3;55.7
2021;Textile, habillement, cuir;93.6;141.3;66.2
2021;Transports et entreposage;366.8;1420.6;25.8
2021;Télécommunications;46.9;135.5;34.6
2021;Édition, audiovisuel;105.1;281.7;37.3
2021;Électricité, gaz, vapeur;66.7;194.9;34.2
2021;Équipements électriques;35.8;110.7;32.3
2022;Activités de services administratifs;572.7;1205.0;47.5
2022;Activités des ménages employeurs;568.1;843.7;67.3
2022;Activités extra-territoriales;221.7;249.1;89.0
2022;Activités financières et assurance;539.4;955.4;56.5
2022;Activités immobilières;196.5;348.6;56.4
2022;Activités informatiques;159.4;576.2;27.7
2022;Activités juridiques, conseil, ingénierie;657.6;1367.7;48.1
2022;Activités spécialisées et soutien;1461.7;3057.7;47.8
2022;Admin. publique, enseignement, santé;5833.8;8451.1;69.0
2022;Administration publique;1213.6;2342.0;51.8
2022;Agriculture, sylviculture et pêche;214.5;722.1;29.7
2022;Alimentation, boissons, tabac;283.5;655.7;43.2
2022;Arts, spectacles, activités récréatives;1111.1;1727.7;64.3
2022;Autres activités de services;313.8;620.0;50.6
2022;Autres activités spécialisées;156.9;308.1;50.9
2022;Autres industries manufacturières;93.2;362.4;25.7
2022;Bois, papier, imprimerie;47.6;188.8;25.2
2022;Caoutchouc, plastiques, minéraux;73.2;274.6;26.7
2022;Cokéfaction et raffinage;0.7;6.6;10.6
2022;Commerce, réparation automobiles;1717.7;3705.3;46.4
2022;Commerce, transports, hébergement;2655.2;6293.5;42.2
2022;Construction;235.1;1838.6;12.8
2022;Eau, assainissement, déchets;62.0;216.5;28.6
2022;Enseignement;1468.2;2146.8;68.4
2022;Ensemble;13866.8;28341.1;48.9
2022;Hébergement et restauration;553.6;1144.3;48.4
2022;Hébergement médico-social, action sociale;1661.2;1982.5;83.8
2022;Industrie (total);1100.5;3535.3;31.1
2022;Industrie chimique;57.1;163.6;34.9
2022;Industrie pharmaceutique;44.3;92.5;47.9
2022;Industries extractives;6.4;39.1;16.4
2022;Information et communication;297.3;977.2;30.4
2022;Informatique, électronique, optique;61.1;171.0;35.7
2022;Machines et équipements;31.6;175.8;18.0
2022;Matériels de transport;79.3;340.4;23.3
2022;Métallurgie, produits métalliques;78.7;413.4;19.0
2022;Non classé;7.5;14.9;50.3
2022;Non renseigné;221.7;434.0;51.1
2022;Recherche-développement;74.4;176.9;42.1
2022;Santé humaine;1490.7;1979.7;75.3
2022;Tertiaire (total);12095.0;21811.2;55.5
2022;Textile, habillement, cuir;85.3;131.6;64.8
2022;Transports et entreposage;384.0;1443.9;26.6
2022;Télécommunications;38.0;116.2;32.7
2022;Édition, audiovisuel;99.8;284.8;35.0
2022;Électricité, gaz, vapeur;60.1;183.6;32.7
2022;Équipements électriques;36.4;119.8;30.4
2023;Activités de services administratifs;611.6;1286.3;47.5
2023;Activités des ménages employeurs;241.3;269.7;89.5
2023;Activités extra-territoriales;9.2;19.0;48.4
2023;Activités financières et assurance;534.6;941.9;56.8
2023;Activités immobilières;196.8;356.4;55.2
2023;Activités informatiques;180.2;626.9;28.7
2023;Activités juridiques, conseil, ingénierie;713.7;1422.8;50.2
2023;Activités spécialisées et soutien;1593.3;3242.9;49.1
2023;Admin. publique, enseignement, santé;5997.4;8752.3;68.5
2023;Administration publique;1230.8;2417.6;50.9
2023;Agriculture, sylviculture et pêche;223.8;710.0;31.5
2023;Alimentation, boissons, tabac;277.7;627.6;44.2
2023;Arts et autres services;1055.5;1638.9;64.4
2023;Arts, spectacles, activités récréatives;289.1;584.7;49.4
2023;Autres activités de services;515.9;765.6;67.4
2023;Autres activités spécialisées;173.9;334.0;52.1
2023;Autres industries manufacturières;106.8;368.3;29.0
2023;Bois, papier, imprimerie;53.9;187.8;28.7
2023;Caoutchouc, plastiques, minéraux;73.8;292.1;25.3
2023;Cokéfaction et raffinage;1.8;6.2;29.0
2023;Commerce, réparation automobiles;1684.3;3613.6;46.6
2023;Commerce, transports, hébergement;2603.3;6228.6;41.8
2023;Construction;236.8;1812.3;13.1
2023;Eau, assainissement, déchets;54.5;219.2;24.9
2023;Enseignement;1533.7;2257.0;68.0
2023;Ensemble;14014.9;28588.6;49.0
2023;Hébergement et restauration;537.2;1169.4;45.9
2023;Hébergement médico-social, action sociale;1683.6;2020.9;83.3
2023;Industrie (total);1129.7;3641.6;31.0
2023;Industrie chimique;62.9;158.3;39.7
2023;Industrie pharmaceutique;45.2;94.4;47.9
2023;Industries extractives;6.1;34.9;17.5
2023;Information et communication;320.0;1013.5;31.6
2023;Informatique, électronique, optique;58.8;170.5;34.5
2023;Machines et équipements;42.5;191.6;22.2
2023;Matériels de transport;77.4;369.8;20.9
2023;Métallurgie, produits métalliques;77.6;443.5;17.5
2023;Non renseigné;123.7;250.0;49.5
2023;Recherche-développement;94.1;199.8;47.1
2023;Santé humaine;1549.2;2056.8;75.3
2023;Tertiaire (total);12300.9;22174.5;55.5
2023;Textile, habillement, cuir;86.6;141.4;61.2
2023;Transports et entreposage;381.9;1445.7;26.4
2023;Télécommunications;32.1;106.5;30.1
2023;Édition, audiovisuel;107.7;280.1;38.5
2023;Électricité, gaz, vapeur;64.9;216.9;29.9
2023;Équipements électriques;39.1;119.2;32.8
2024;Activités de services administratifs;603.2;1255.3;48.1
2024;Activités des ménages employeurs;262.3;290.0;90.4
2024;Activités extra-territoriales;10.8;20.4;52.9
2024;Activités financières et assurance;540.8;973.8;55.5
2024;Activités immobilières;214.9;382.6;56.2
2024;Activités informatiques;178.3;639.8;27.9
2024;Activités juridiques, conseil, ingénierie;700.6;1421.3;49.3
2024;Activités spécialisées et soutien;1604.9;3251.1;49.4
2024;Admin. publique, enseignement, santé;5903.4;8580.1;68.8
2024;Administration publique;1272.7;2402.3;53.0
2024;Agriculture, sylviculture et pêche;201.1;681.5;29.5
2024;Alimentation, boissons, tabac;258.6;620.4;41.7
2024;Arts et autres services;1078.0;1648.2;65.4
2024;Arts, spectacles, activités récréatives;296.0;610.5;48.5
2024;Autres activités de services;508.8;727.3;70.0
2024;Autres activités spécialisées;186.0;350.2;53.1
2024;Autres industries manufacturières;107.8;364.5;29.6
2024;Bois, papier, imprimerie;57.4;192.3;29.8
2024;Caoutchouc, plastiques, minéraux;65.2;270.4;24.1
2024;Cokéfaction et raffinage;1.3;6.0;21.7
2024;Commerce, réparation automobiles;1720.0;3660.8;47.0
2024;Commerce, transports, hébergement;2664.9;6367.6;41.9
2024;Construction;244.4;1909.1;12.8
2024;Eau, assainissement, déchets;71.6;256.1;28.0
2024;Enseignement;1513.6;2242.4;67.5
2024;Ensemble;14168.9;29022.0;48.8
2024;Hébergement et restauration;578.1;1246.9;46.4
2024;Hébergement médico-social, action sociale;1610.1;1943.5;82.8
2024;Industrie (total);1123.5;3656.1;30.7
2024;Industrie chimique;66.2;162.7;40.7
2024;Industrie pharmaceutique;47.3;86.3;54.8
2024;Industries extractives;4.1;28.5;14.4
2024;Information et communication;324.3;1034.7;31.3
2024;Informatique, électronique, optique;59.6;169.6;35.1
2024;Machines et équipements;40.8;195.2;20.9
2024;Matériels de transport;72.6;357.2;20.3
2024;Métallurgie, produits métalliques;77.3;450.6;17.2
2024;Non renseigné;268.8;537.1;50.0
2024;Recherche-développement;115.1;224.3;51.3
2024;Santé humaine;1507.0;1992.0;75.7
2024;Tertiaire (total);12331.2;22238.2;55.5
2024;Textile, habillement, cuir;86.4;137.0;63.1
2024;Transports et entreposage;366.8;1460.0;25.1
2024;Télécommunications;28.0;97.2;28.8
2024;Édition, audiovisuel;117.9;297.7;39.6
2024;Électricité, gaz, vapeur;81.2;250.9;32.4
2024;Équipements électriques;26.1;108.4;24.1
